day_name,season,route_id,stop_name.x,stop_name.y,stop_lat.x,stop_lon.x,stop_lat.y,stop_lon.y,avg_time
Friday,Fall,Orange,Assembly,Chinatown,42.392331,-71.077262,42.352547,-71.062752,823.298941798942
Friday,Fall,Orange,Assembly,Community College,42.392331,-71.077262,42.373622,-71.069533,266.0546875
Friday,Fall,Orange,Assembly,Downtown Crossing,42.392331,-71.077262,42.355517999999996,-71.060225,727.7617801047119
Friday,Fall,Orange,Assembly,Forest Hills,42.392331,-71.077262,42.300523,-71.113686,2019.065868263473
Friday,Fall,Orange,Assembly,Green Street,42.392331,-71.077262,42.309832,-71.108059,1847.0291777188331
Friday,Fall,Orange,Assembly,Haymarket,42.392331,-71.077262,42.363021,-71.05829,513.5665796344642
Friday,Fall,Orange,Assembly,Jackson Square,42.392331,-71.077262,42.323132,-71.099592,1616.8484042553193
Friday,Fall,Orange,Assembly,Malden Center,42.392336,-71.07718,42.426662,-71.074314,352.37730870712403
Friday,Fall,Orange,Assembly,Massachusetts Avenue,42.392331,-71.077262,42.340927,-71.084188,1287.575596816976
Friday,Fall,Orange,Assembly,North Station,42.392331,-71.077262,42.365577,-71.06129,424.6736292428195
Friday,Fall,Orange,Assembly,Oak Grove,42.392336,-71.07718,42.437735000000004,-71.070875,566.8424242424242
Friday,Fall,Orange,Assembly,Roxbury Crossing,42.392331,-71.077262,42.330671,-71.096121,1512.5372340425533
Friday,Fall,Orange,Assembly,Ruggles,42.392331,-71.077262,42.33649,-71.089684,1397.7952127659573
Friday,Fall,Orange,Assembly,State,42.392331,-71.077262,42.358978,-71.057598,636.3036649214657
Friday,Fall,Orange,Assembly,Stony Brook,42.392331,-71.077262,42.317062,-71.104248,1742.7765957446804
Friday,Fall,Orange,Assembly,Sullivan Square,42.392331,-71.077262,42.383975,-71.076994,77.88802083333343
Friday,Fall,Orange,Assembly,Tufts Medical Center,42.392331,-71.077262,42.349662,-71.063917,914.2433862433861
Friday,Fall,Orange,Assembly,Wellington,42.392336,-71.07718,42.401507,-71.07715,86.01566579634465
Friday,Fall,Orange,Back Bay,Assembly,42.34735,-71.075727,42.392336,-71.07718,1091.9391534391527
Friday,Fall,Orange,Back Bay,Chinatown,42.34735,-71.075727,42.352547,-71.062752,194.96354166666657
Friday,Fall,Orange,Back Bay,Community College,42.34735,-71.075727,42.373622,-71.069533,720.6394736842108
