service_date,gtfs_route_id,gtfs_route_desc,route_category,mode_type,otp_numerator,otp_denominator,cancelled_numerator,month,route_short_name,route_long_name
2022-08-22,119,Local Bus,Other Bus,Bus,108,159,0,22Aug,119,Northgate Shopping Center - Beachmont Station
2022-08-22,119,Local Bus,Other Bus,Bus,48,66,0,22Aug,119,Northgate Shopping Center - Beachmont Station
2022-08-22,117,Key Bus Route (Frequent Service),Key Bus,Bus,432,554,0,22Aug,117,Wonderland Station - Maverick Station via Beach Street
2022-08-22,117,Key Bus Route (Frequent Service),Key Bus,Bus,192,234,0,22Aug,117,Wonderland Station - Maverick Station via Beach Street
2022-08-22,455,Local Bus,Other Bus,Bus,284,450,0,22Aug,455,Salem Depot - Wonderland Station
2022-08-22,116,Key Bus Route (Frequent Service),Key Bus,Bus,135,180,0,22Aug,116,Wonderland Station - Maverick Station via Revere Street
2022-08-22,350,Local Bus,Other Bus,Bus,161,272,0,22Aug,350,North Burlington - Alewife Station
2022-08-22,455,Local Bus,Other Bus,Bus,97,173,0,22Aug,455,Salem Depot - Wonderland Station
2022-08-22,451,Limited Service,Other Bus,Bus,25,34,0,22Aug,451,North Beverly Station - Salem Depot
2022-08-22,451,Limited Service,Other Bus,Bus,24,35,0,22Aug,451,North Beverly Station - Salem Depot
2022-08-22,450,Express Bus,Other Bus,Bus,184,398,0,22Aug,450,Salem Depot - Wonderland or Haymarket Station
2022-08-22,450,Express Bus,Other Bus,Bus,71,147,0,22Aug,450,Salem Depot - Wonderland or Haymarket Station
2022-08-22,45,Local Bus,Other Bus,Bus,176,235,0,22Aug,45,Franklin Park - Ruggles Station
2022-08-22,45,Local Bus,Other Bus,Bus,398,545,0,22Aug,45,Franklin Park - Ruggles Station
2022-08-22,114,Limited Service,Other Bus,Bus,52,63,0,22Aug,114,Market Basket - Maverick Station
2022-08-22,442,Local Bus,Other Bus,Bus,68,103,0,22Aug,442,Marblehead - Wonderland Station via Humphrey Street
2022-08-22,114,Limited Service,Other Bus,Bus,3,5,0,22Aug,114,Market Basket - Maverick Station
2022-08-22,442,Local Bus,Other Bus,Bus,229,310,0,22Aug,442,Marblehead - Wonderland Station via Humphrey Street
2022-08-22,112,Local Bus,Other Bus,Bus,121,179,0,22Aug,112,Wellington Station - Wood Island Station
2022-08-22,441,Local Bus,Other Bus,Bus,55,66,0,22Aug,441,Marblehead - Wonderland Station via Paradise Road
2022-08-22,112,Local Bus,Other Bus,Bus,59,85,0,22Aug,112,Wellington Station - Wood Island Station
2022-08-22,441,Local Bus,Other Bus,Bus,95,127,0,22Aug,441,Marblehead - Wonderland Station via Paradise Road
2022-08-22,111,Key Bus Route (Frequent Service),Key Bus,Bus,2297,2766,0,22Aug,111,Woodlawn - Haymarket Station
2022-08-22,44,Local Bus,Other Bus,Bus,517,614,0,22Aug,44,Jackson Square Station - Ruggles Station
2022-08-22,111,Key Bus Route (Frequent Service),Key Bus,Bus,674,809,0,22Aug,111,Woodlawn - Haymarket Station
2022-08-22,85,Local Bus,Other Bus,Bus,27,36,0,22Aug,85,Spring Hill - Kendall/MIT Station
2022-08-22,44,Local Bus,Other Bus,Bus,229,254,0,22Aug,44,Jackson Square Station - Ruggles Station
2022-08-22,350,Local Bus,Other Bus,Bus,343,480,0,22Aug,350,North Burlington - Alewife Station
2022-08-22,110,Local Bus,Other Bus,Bus,356,433,0,22Aug,110,Wonderland Station - Wellington Station
2022-08-22,83,Local Bus,Other Bus,Bus,227,294,0,22Aug,83,"Rindge Avenue - Central Square, Cambridge"
2022-08-22,439,Limited Service,Other Bus,Bus,18,21,0,22Aug,439,Nahant - Wonderland Station
2022-08-22,35,Local Bus,Other Bus,Bus,207,242,0,22Aug,35,Dedham Mall or Stimson Street - Forest Hills Station
2022-08-22,110,Local Bus,Other Bus,Bus,224,272,0,22Aug,110,Wonderland Station - Wellington Station
2022-08-22,83,Local Bus,Other Bus,Bus,72,115,0,22Aug,83,"Rindge Avenue - Central Square, Cambridge"
2022-08-22,80,Local Bus,Other Bus,Bus,126,154,0,22Aug,80,Arlington Center - Lechmere Station
2022-08-22,80,Local Bus,Other Bus,Bus,299,349,0,22Aug,80,Arlington Center - Lechmere Station
2022-08-22,8,Local Bus,Other Bus,Bus,375,596,0,22Aug,8,Harbor Point - Kenmore Station
2022-08-22,8,Local Bus,Other Bus,Bus,147,239,0,22Aug,8,Harbor Point - Kenmore Station
2022-08-22,78,Local Bus,Other Bus,Bus,118,150,0,22Aug,78,Arlmont Village - Harvard Station
2022-08-22,78,Local Bus,Other Bus,Bus,335,401,0,22Aug,78,Arlmont Village - Harvard Station
2022-08-22,77,Key Bus Route (Frequent Service),Key Bus,Bus,897,1066,0,22Aug,77,Arlington Heights - Harvard Station
2022-08-22,77,Key Bus Route (Frequent Service),Key Bus,Bus,320,375,0,22Aug,77,Arlington Heights - Harvard Station
2022-08-22,76,Local Bus,Other Bus,Bus,54,71,0,22Aug,76,Lincoln Lab - Alewife Station
2022-08-22,76,Local Bus,Other Bus,Bus,70,95,0,22Aug,76,Lincoln Lab - Alewife Station
2022-08-22,751,Rapid Transit,Silver Line,Bus,562,700,0,22Aug,SL4,Nubian Station - South Station
2022-08-22,751,Rapid Transit,Silver Line,Bus,206,245,0,22Aug,SL4,Nubian Station - South Station
2022-08-22,75,Local Bus,Other Bus,Bus,125,149,0,22Aug,75,Belmont Center - Harvard via Huron Avenue
2022-08-22,75,Local Bus,Other Bus,Bus,264,309,0,22Aug,75,Belmont Center - Harvard via Huron Avenue
2022-08-22,749,Rapid Transit,Silver Line,Bus,240,274,0,22Aug,SL5,Nubian Station - Temple Place
2022-08-22,749,Rapid Transit,Silver Line,Bus,752,927,0,22Aug,SL5,Nubian Station - Temple Place
2022-08-22,747,Local Bus,Other Bus,Bus,161,315,0,22Aug,CT2,Sullivan Square Station - Ruggles Station
2022-08-22,747,Local Bus,Other Bus,Bus,120,226,0,22Aug,CT2,Sullivan Square Station - Ruggles Station
2022-08-22,746,Rapid Transit,Silver Line,Bus,53,74,0,22Aug,SLW,Silver Line Way - South Station
2022-08-22,746,Rapid Transit,Silver Line,Bus,4,4,0,22Aug,SLW,Silver Line Way - South Station
2022-08-22,743,Rapid Transit,Silver Line,Bus,422,501,0,22Aug,SL3,Chelsea Station - South Station
2022-08-22,743,Rapid Transit,Silver Line,Bus,1018,1259,0,22Aug,SL3,Chelsea Station - South Station
2022-08-22,742,Rapid Transit,Silver Line,Bus,268,334,0,22Aug,SL2,Drydock Avenue - South Station
2022-08-22,742,Rapid Transit,Silver Line,Bus,185,248,0,22Aug,SL2,Drydock Avenue - South Station
2022-08-22,741,Rapid Transit,Silver Line,Bus,843,1127,0,22Aug,SL1,Logan Airport Terminals - South Station
2022-08-22,741,Rapid Transit,Silver Line,Bus,226,278,0,22Aug,SL1,Logan Airport Terminals - South Station
2022-08-22,74,Local Bus,Other Bus,Bus,294,353,0,22Aug,74,Belmont Center - Harvard via Concord Avenue
2022-08-22,74,Local Bus,Other Bus,Bus,72,102,0,22Aug,74,Belmont Center - Harvard via Concord Avenue
2022-08-22,73,Key Bus Route (Frequent Service),Key Bus,Bus,507,670,0,22Aug,73,Waverley Square - Harvard Station
